title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
1 room apartment,Uzbekistan,"Chilanzar District, Uzbekistan",2023,9,7,2,1,1,62.0,75.0,120000.0,https://realting.com/uploads/bigSlider/62f/ee1e7e0580ff613ec8669d0abe746.webp,https://realting.com/uzbekistan/property/1767732
1 room apartment,Uzbekistan,"Tashkent, Uzbekistan",2023,9,2,2,1,1,95.0,75.0,110000.0,https://realting.com/uploads/bigSlider/0e4/255979cdb7a320b32f1596d8a8978.webp,https://realting.com/uzbekistan/property/1764970
1 room apartment,Turkey,"Central Anatolia Region, Turkey",2021,6,2,2,1,1,55.0,75.0,314122.0,https://realting.com/uploads/bigSlider/2be/0d409826a26edde6c545638e7c2fb.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1750824
1 room studio apartment,Thailand,"Pattaya, Thailand",2021,8,1,1,2,1,23.0,75.0,44993.0,https://realting.com/uploads/bigSlider/186/d20401043314f337fbe4ecd0d68a1.webp,https://realting.com/property-for-sale/thailand/ilya/1754073
3 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2023,8,5,4,3,2,150.0,75.0,227168.0,https://realting.com/uploads/bigSlider/8a6/38a34c36c0705be35e67858a62161.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1767857
apartment,Montenegro,Montenegro,2023,,4,3,2,1,77.0,75.0,226238.0,https://realting.com/uploads/bigSlider/a18/9dd111bd66563.webp,https://realting.com/property-for-sale/montenegro/a-place-in-montenegro/794047
2 room apartment,Turkey,"Mediterranean Region, Alanya, Turkey",2023,4,2,3,2,1,110.0,75.0,257602.0,https://realting.com/uploads/bigSlider/867/75e478ca9a4b50ce05ceb7355538e.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1767856
1 room apartment,Montenegro,Montenegro,2023,,4,3,1,1,64.0,75.0,197821.0,https://realting.com/uploads/bigSlider/c65/858ea38b0d477.webp,https://realting.com/property-for-sale/montenegro/tradegoria/1583659
2 room apartment,Montenegro,"Sveti Stefan, Budva Municipality, Montenegro",2023,,4,4,2,2,87.0,75.0,249741.0,https://realting.com/uploads/bigSlider/95c/aaf3a830af087.webp,https://realting.com/property-for-sale/montenegro/es35-com/1574269
apartment,Montenegro,"Sveti Stefan, Budva Municipality, Montenegro",2023,,4,3,2,1,54.0,75.0,255428.0,https://realting.com/uploads/bigSlider/a79/54cfa6010a2f8642afef69b742526.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1766251
