title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
"4 room apartment 430 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,4.0,,430 m²,,2391242.0,https://realting.com/uploads/bigSlider/278/656f2c69934fc02c3a48b0387fa6a.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634140
"2 room apartment 161 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,3.0,2.0,,161 m²,,1574825.0,https://realting.com/uploads/bigSlider/3fd/f210ddb3a7822ebfcf4674b9c1b43.webp,https://realting.com/property-for-sale/turkey/mercury-group/1575388
"3 room apartment 148 m² in Sisli, Turkey",Turkey,"Sisli, Marmara Region, Turkey",,30.0,30.0,3.0,,,148 m²,,1368113.0,https://realting.com/uploads/bigSlider/249/293ee1d5a5b15.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1539564
"3 room apartment 237 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,4.0,3.0,,237 m²,,2086144.0,https://realting.com/uploads/bigSlider/bf7/5bebcaf6360d1c034846090349023.webp,https://realting.com/property-for-sale/turkey/mercury-group/1589019
"6 room apartment 145 m² in Urla, Turkey",Turkey,"Aegean Region, Haci Isa Mahallesi, Urla, Turkey",,2.0,,7.0,6.0,,145 m²,,2502828.0,https://realting.com/uploads/bigSlider/638/8bfc2fbdd8aa091933fd734b172b5.webp,https://realting.com/property-for-sale/turkey/tranio/1752749
"6 room apartment 328 m² in Cekmekoey, Turkey",Turkey,"Cekmekoey, Marmara Region, Cekmekoey Askeri Boelge, Turkey",2023.0,,,6.0,,1.0,328 m²,,1873321.0,https://realting.com/uploads/bigSlider/419/777adbca1b25c3a768c9f13a8aea6.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1716966
"5 room apartment 285 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,5.0,,285 m²,,2455371.0,https://realting.com/uploads/bigSlider/de6/05aee91a51fd6813840b75420c78d.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634690
"9 room apartment 226 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,35.0,,226 m²,,2698843.0,https://realting.com/uploads/bigSlider/d0d/1851d5e6fbdbd5efc1293cdaa0fa5.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634472
"4 room apartment 248 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,4.0,,248 m²,,2612975.0,https://realting.com/uploads/bigSlider/64f/4fa0881b7280bc56988be5289c2e3.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634208
"3 room apartment 115 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,2.0,2.0,3.0,,,115 m²,,3003562.0,https://realting.com/uploads/bigSlider/9c1/83b8c9626ed63.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1541525
